"title","Year"
"Highlander: The Final Dimension",1994
"Self/less",2015
"Jimmy Neutron: Boy Genius",2001
"Cloverfield",2008
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",1991
"The Giver",2014
"Anacondas: The Hunt for the Blood Orchid",2004
"The Box",2009
"Lifeforce",1985
"Sheena",1984
"Tank Girl",1995
"Blindness",2008
"Star Trek IV: The Voyage Home",1986
"Muppets from Space",1999
"The Thief and the Cobbler",1993
"The Empire Strikes Back",1980
"Pitch Black",2000
"Her",2013
"Spaceballs",1987
"RoboCop 3",1993
"Megiddo: The Omega Code 2",2001
"Firefox",1982
"Teenage Mutant Ninja Turtles III",1993
"The Rage: Carrie 2",1999
"eXistenZ",1999
"Close Encounters of the Third Kind",1977
"Bill & Ted's Bogus Journey",1991
"The Black Hole",1979
"Eternal Sunshine of the Spotless Mind",2004
"The World's End",2013
"Daybreakers",2009
"The Covenant",2006
"Lockout",2012
"A Scanner Darkly",2006
"Equilibrium",2002
"Steamboy",2004
"CJ7",2008
"Dylan Dog: Dead of Night",2011
"Back to the Future",1985
"Thomas and the Magic Railroad",2000
"Star Trek III: The Search for Spock",1984
"Left Behind",2014
"Austin Powers: International Man of Mystery",1997
"Predator",1987
"Megaforce",1982
"Midnight Special",2016
"The Wraith",1986
"Day of the Dead",1985
"Renaissance",2006
"Aliens",1986
"Good Boy!",2003
"Superman IV: The Quest for Peace",1987
"Southland Tales",2006
"Damnation Alley",1977
"My Stepmother is an Alien",1988
"The Thirteenth Floor",1999
"Meteor",1979
"Steel",1997
"Slither",2006
"The Faculty",1998
"28 Weeks Later",2007
"Tuck Everlasting",2002
"Disturbing Behavior",1998
"VeggieTales: The Pirates Who Don't Do Anything",2008
"Highlander: Endgame",2000
"Brazil",1985
"Never Let Me Go",2010
"Listening",2015
"Metropolis",1927
"District B13",2004
"Automata",2014
"Jason X",2001
"Under the Skin",2014
"The Butterfly Effect",2004
"Baby Geniuses",1999
"The Mist",2007
"Ex Machina",2015
"Earth to Echo",2014
"The Astronaut Farmer",2006
"Attack the Block",2011
"Womb",2010
"Star Trek II: The Wrath of Khan",1982
"WarGames",1983
"Chronicle",2012
"Time Bandits",1981
"Quarantine",2008
"Prophecy",1979
"The Boys from Brazil",1978
"Max Keeble's Big Move",2001
"About Time",2013
"Project Almanac",2015
"Fortress",1992
"The Host",2006
"2046",2004
"Cypher",2002
"Space Battleship Yamato",2010
"Star Wars",1977
"St. Trinian's",2007
"Invaders from Mars",1986
"The Last Days on Mars",2013
"2001: A Space Odyssey",1968
"E.T. the Extra-Terrestrial",1982
"Bill & Ted's Excellent Adventure",1989
"Recess: School's Out",2001
"Mad Max Beyond Thunderdome",1985
"The Lawnmower Man",1992
"Twilight Zone: The Movie",1983
"The Dead Zone",1983
"The Fourth Kind",2009
"Skyline",2010
"Seeking a Friend for the End of the World",2012
"Atlas Shrugged Part II",2012
"Krrish",2006
"The Devil's Tomb",2009
"Re-Kill",2015
"Heavy Metal",1981
"Melancholia",2011
"Alien",1979
"Detention",2011
"The Ice Pirates",1984
"Ultramarines: A Warhammer 40,000 Movie",2010
"The I Inside",2004
"Star Wars: Clone Wars: Volume 1",2005
"Barbarella",1968
"Repo! The Genetic Opera",2008
"28 Days Later",2002
"Akira",1988
"The Blood of Heroes",1989
"Code 46",2003
"Logan's Run",1976
"Alien Zone",1978
"Split Second",1992
"The Visitors",1993
"Hard to Be a God",2013
"Stargate: The Ark of Truth",2008
"The Andromeda Strain",1971
"The Terminator",1984
"Escape from New York",1981
"Beastmaster 2: Through the Portal of Time",1991
"Videodrome",1983
"Galaxina",1980
"Grabbers",2012
"Somewhere in Time",1980
"10 Cloverfield Lane",2016
"20,000 Leagues Under the Sea",1954
"Apollo 18",2011
"Digimon: The Movie",2000
"Moon",2009
"Jekyll and Hyde ... Together Again",1982
"Atlas Shrugged Part III: Who is John Galt?",2014
"Decoys",2004
"Area 51",2015
"Capricorn One",1977
"Cargo",2009
"Survival of the Dead",2010
"They Live",1988
"Stake Land",2010
"Nothing",2003
"Antiviral",2012
"The Purge",2013
"Beneath the Planet of the Apes",1970
"Spaced Invaders",1990
"Phantasm II",1988
"Warlock: The Armageddon",1993
"Creature",1998
"The Divide",2011
"Young Frankenstein",1974
"Diary of the Dead",2007
"Journey to Saturn",2008
"Timecrimes",2007
"Halloween III: Season of the Witch",1982
"Escape from the Planet of the Apes",1971
"Robot & Frank",2012
"Sleep Dealer",2008
"Idiocracy",2006
"U.F.O.",2012
"Containment",2015
"Sleeper",1973
"Mad Max 2: The Road Warrior",1981
"Six-String Samurai",1998
"Return of the Living Dead 3",1993
"Circle",2015
"The Walking Deceased",2015
"Northfork",2003
"Battle for the Planet of the Apes",1973
"Independence Daysaster",2013
"Conquest of the Planet of the Apes",1972
"Repo Man",1984
"Pontypool",2009
"Fetching Cody",2005
"Mutant World",2014
"Batman",1966
"Def-Con 4",1985
"C.H.U.D.",1984
"Beyond the Black Rainbow",2010
"The Dead Undead",2010
"Silent Running",1972
"Godzilla 2000",1999
"I Origins",2014
"Creative Control",2016
"Special",2006
"The Helix... Loaded",2005
"Bang Bang Baby",2014
"Zombie Hunter",2013
"Charly",1968
"Time Changer",2002
"American Hero",2015
"Vessel",2012
"Safety Not Guaranteed",2012
"Hav Plenty",1997
"Kingdom of the Spiders",1977
"Monsters",2010
"Enter Nowhere",2011
"The Toxic Avenger",1984
"The Dark Hours",2005
"Rotor DR1",2015
"Death Race 2000",1975
"Cube",1997
"The Sticky Fingers of Time",1997
"The Beast from 20,000 Fathoms",1953
"Mad Max",1979
"The Man from Earth",2007
"Yesterday Was a Lie",2008
"H.",2014
"Another Earth",2011
"Sound of My Voice",2011
"Eraserhead",1977
"The Lost Skeleton of Cadavra",2001
"Echo Dr.",2013
"Queen Crab",2015
"The Brain That Wouldn't Die",1962
"The Signal",2014
"Dawn of the Crescent Moon",2014
"All Superheroes Must Die",2011
"Primer",2004
